event_id,doc_id,stock_code,event_type,event_time,subject,object,impact_path,evidence_text,evidence_strength
ME0062,HIST-NBS-024,600104,attention_spread,2017-04-17,国家统计局,新能源汽车销售与车型供给,政策活动/需求变化→终端销量关注→整车与电池链条联动,利用该指标，可以判断短期工业经济的运行走势，判断经济的景气程度，也是制定和调整经济政策，实施宏观调控的重要参考和依据。,0.84
ME0063,HIST-NBS-024,601633,attention_spread,2017-04-17,国家统计局,新能源汽车销售与车型供给,政策活动/需求变化→终端销量关注→整车与电池链条联动,利用该指标，可以判断短期工业经济的运行走势，判断经济的景气程度，也是制定和调整经济政策，实施宏观调控的重要参考和依据。,0.84
ME0064,HIST-NBS-024,601127,attention_spread,2017-04-17,国家统计局,新能源汽车销售与车型供给,政策活动/需求变化→终端销量关注→整车与电池链条联动,利用该指标，可以判断短期工业经济的运行走势，判断经济的景气程度，也是制定和调整经济政策，实施宏观调控的重要参考和依据。,0.84
ME0065,HIST-NBS-024,000625,attention_spread,2017-04-17,国家统计局,新能源汽车销售与车型供给,政策活动/需求变化→终端销量关注→整车与电池链条联动,利用该指标，可以判断短期工业经济的运行走势，判断经济的景气程度，也是制定和调整经济政策，实施宏观调控的重要参考和依据。,0.84
ME0066,HIST-NBS-025,002594,attention_spread,2017-05-15,国家统计局,新能源汽车销售与车型供给,政策活动/需求变化→终端销量关注→整车与电池链条联动,利用该指标，可以判断短期工业经济的运行走势，判断经济的景气程度，也是制定和调整经济政策，实施宏观调控的重要参考和依据。,0.84
ME0067,HIST-NBS-025,600104,attention_spread,2017-05-15,国家统计局,新能源汽车销售与车型供给,政策活动/需求变化→终端销量关注→整车与电池链条联动,利用该指标，可以判断短期工业经济的运行走势，判断经济的景气程度，也是制定和调整经济政策，实施宏观调控的重要参考和依据。,0.84
ME0068,HIST-NBS-025,601633,attention_spread,2017-05-15,国家统计局,新能源汽车销售与车型供给,政策活动/需求变化→终端销量关注→整车与电池链条联动,利用该指标，可以判断短期工业经济的运行走势，判断经济的景气程度，也是制定和调整经济政策，实施宏观调控的重要参考和依据。,0.84
ME0069,HIST-NBS-025,601127,attention_spread,2017-05-15,国家统计局,新能源汽车销售与车型供给,政策活动/需求变化→终端销量关注→整车与电池链条联动,利用该指标，可以判断短期工业经济的运行走势，判断经济的景气程度，也是制定和调整经济政策，实施宏观调控的重要参考和依据。,0.84
ME0070,HIST-NBS-025,000625,attention_spread,2017-05-15,国家统计局,新能源汽车销售与车型供给,政策活动/需求变化→终端销量关注→整车与电池链条联动,利用该指标，可以判断短期工业经济的运行走势，判断经济的景气程度，也是制定和调整经济政策，实施宏观调控的重要参考和依据。,0.84
ME0071,HIST-NBS-026,002594,attention_spread,2017-06-14,国家统计局,新能源汽车销售与车型供给,政策活动/需求变化→终端销量关注→整车与电池链条联动,利用该指标，可以判断短期工业经济的运行走势，判断经济的景气程度，也是制定和调整经济政策，实施宏观调控的重要参考和依据。,0.84
