event_id,doc_id,stock_code,event_type,event_time,has_policy_support,policy_directly_related_to_business,event_mentions_core_product,evidence_from_authoritative_source,source_government_or_exchange,source_company_announcement,source_major_media,social_attention_spikes,policy_attention_followup,institutional_attention_increases,investor_questions_increase,management_response_vague,announcement_contains_uncertainty,risk_or_uncertainty_disclosure,demand_side_policy,supply_side_policy,capacity_policy_support,event_evidence_strength,event_has_short_term_price_impact
E389,S115,601633,attention_spread,2025-01-23,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E390,S115,601127,attention_spread,2025-01-23,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E391,S115,000625,attention_spread,2025-01-23,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E398,S118,600104,earnings_quality_anomaly,2026-04-02,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false,false,false,0.88,0.64
E399,S119,300750,attention_spread,2024-08-16,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E400,S119,300014,attention_spread,2024-08-16,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E401,S119,002074,attention_spread,2024-08-16,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E402,S119,603659,attention_spread,2024-08-16,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E403,S119,300450,attention_spread,2024-08-16,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E404,S119,002812,attention_spread,2024-08-16,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E405,S119,300207,attention_spread,2024-08-16,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E406,S119,300073,attention_spread,2024-08-16,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E407,S119,300438,attention_spread,2024-08-16,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E408,S119,002594,attention_spread,2024-08-16,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E409,S119,600104,attention_spread,2024-08-16,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E410,S119,601633,attention_spread,2024-08-16,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E411,S119,601127,attention_spread,2024-08-16,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E412,S119,000625,attention_spread,2024-08-16,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E414,S121,601012,policy_support,2025-09-19,true,false,false,true,true,false,false,false,false,true,false,false,false,false,false,false,true,0.94,0.78
E415,S121,300274,policy_support,2025-09-19,true,false,false,true,true,false,false,false,false,true,false,false,false,false,false,false,true,0.94,0.78
E416,S121,300750,policy_support,2025-09-19,true,false,false,true,true,false,false,false,false,true,false,false,false,false,false,false,true,0.94,0.78
E417,S121,300014,policy_support,2025-09-19,true,false,false,true,true,false,false,false,false,true,false,false,false,false,false,false,true,0.94,0.78
E418,S121,605117,policy_support,2025-09-19,true,false,false,true,true,false,false,false,false,true,false,false,false,false,false,false,true,0.94,0.78
E419,S121,300763,policy_support,2025-09-19,true,false,false,true,true,false,false,false,false,true,false,false,false,false,false,false,true,0.94,0.78
E420,S122,601012,policy_support,2025-12-23,true,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,0.94,0.78
E421,S122,300274,policy_support,2025-12-23,true,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,0.94,0.78
E422,S122,605117,policy_support,2025-12-23,true,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,0.94,0.78
E423,S122,300763,policy_support,2025-12-23,true,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,0.94,0.78
E424,S123,002594,policy_support,2026-01-30,true,false,false,true,true,false,false,false,true,false,false,false,false,false,true,false,false,0.94,0.78
E425,S123,600104,policy_support,2026-01-30,true,false,false,true,true,false,false,false,true,false,false,false,false,false,true,false,false,0.94,0.78
E426,S123,601633,policy_support,2026-01-30,true,false,false,true,true,false,false,false,true,false,false,false,false,false,true,false,false,0.94,0.78
E427,S123,601127,policy_support,2026-01-30,true,false,false,true,true,false,false,false,true,false,false,false,false,false,true,false,false,0.94,0.78
E428,S123,000625,policy_support,2026-01-30,true,false,false,true,true,false,false,false,true,false,false,false,false,false,true,false,false,0.94,0.78
E433,S125,605117,policy_support,2025-08-27,true,true,true,true,true,false,false,false,true,false,false,false,false,false,false,false,false,0.94,0.78
E434,S125,300763,policy_support,2025-08-27,true,true,true,true,true,false,false,false,true,false,false,false,false,false,false,false,false,0.94,0.78
E435,S125,688390,policy_support,2025-08-27,true,true,true,true,true,false,false,false,true,false,false,false,false,false,false,false,false,0.94,0.78
E436,S125,002335,policy_support,2025-08-27,true,true,true,true,true,false,false,false,true,false,false,false,false,false,false,false,false,0.94,0.78
E437,S125,688063,policy_support,2025-08-27,true,true,true,true,true,false,false,false,true,false,false,false,false,false,false,false,false,0.94,0.78
