trade_date,monetary_policy,liquidity,growth,inflation,bond_supply,risk_appetite,rule_pressure,supporting_document_count,structured_observation_count,independent_event_count,monetary_policy_independent_event_count,liquidity_independent_event_count,growth_independent_event_count,inflation_independent_event_count,bond_supply_independent_event_count,risk_appetite_independent_event_count,monetary_policy_evidence_status,liquidity_evidence_status,growth_evidence_status,inflation_evidence_status,bond_supply_evidence_status,risk_appetite_evidence_status
2018-04-02,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,155,1,139,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-04-03,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,155,1,139,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-04-04,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,155,1,139,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-04-08,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,155,1,139,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-04-09,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,2,8,156,1,140,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-04-10,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,156,1,140,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-04-11,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,156,1,140,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-04-12,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,156,1,140,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-04-13,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,156,1,140,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-04-16,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,157,1,141,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-04-17,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,157,1,141,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-04-18,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,2,8,157,1,141,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-04-19,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,2,8,157,1,141,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-04-20,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,2,8,157,1,141,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,157,1,141,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,157,1,141,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,157,1,141,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,157,1,141,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,157,1,141,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,157,1,141,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-05-02,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,158,1,142,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-05-03,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,158,1,142,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-05-04,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,158,1,142,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-05-07,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,2,8,159,1,143,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-05-08,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,2,8,159,1,143,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-05-09,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,159,1,143,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-05-10,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,159,1,143,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-05-11,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,2,8,159,1,143,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
