doc_id,publish_time,status,model,request_id,error,annotation_input_sha256,prompt_version,annotated_at
GFEX-WR-20260210,2026-02-10,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-92d25d53cb012761,,19740a67f77d44c6efec54e4d3e6a0740258faaf47cf94eeaf62382b93012b26,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:52:52+08:00
GFEX-WR-20260212,2026-02-12,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-0e29a585e4f82832,,98b6e1737fa850feaa1d6b7880c1d6de2ec9066f2f55f29da6936543d8e4cf94,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:52:57+08:00
GFEX-WR-20260213,2026-02-13,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-34979d407e21d3c3,,437ea9d63e9f0c887f98025166934c0da43bda40f6d9a984ccdfc9998ca862d7,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:53:01+08:00
LC-TEXT-0038,2026-03-12,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-6c07e1d27f95fdae,,30339ce79b074a2b95d0a8f30ffc00283851baac30eef0f368ff403e773330d4,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:55:13+08:00
LC-TEXT-0039,2026-03-13,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-724163d09bafdd1c,,998072ea9dadef0c4d8dd591578c49599ff75d5b2b93616b8e67d9a6d6d156ae,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:55:23+08:00
GFEX-WR-20260319,2026-03-19,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-8dda2a02449e9be8,,044af9ed7d866eeaf2e4ce015ddc62d1b0e91dcb168e1db0e2d73df3114dc2b7,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:55:27+08:00
LC-TEXT-0040,2026-03-23,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-3a51c1fc7194a9bc,,4753c6ee746e4a85749c6d25de03b00e2ac0d33887e1a500bfafd752aee7749a,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:55:47+08:00
GFEX-WR-20260324,2026-03-24,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-4c4500c6ce21f9ff,,62ff1b2e243abdd2f9f960aa2a76303738b704d6fca8e3eb40037c9e26ce9109,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:55:51+08:00
GFEX-WR-20260330,2026-03-30,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-7f4031dc61b131a5,,2bb7753b8d93c231b9d4813db665e88301ec2e48542a471df28a5a332dc539df,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:56:56+08:00
GFEX-WR-20260331,2026-03-31,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-533a52902cb2674a,,55febad669c45a6ea515dfd15f515397e9ba0fb94a1cd789d2182f5f17602e8c,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:57:02+08:00
GFEX-WR-20260401,2026-04-01,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-03c1b4bfc9fd786e,,4aa3bed303c5fd9b1e90294808941fc37ebe1b0e326698466a26ac89b27f7b00,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:57:06+08:00
GFEX-WR-20260402,2026-04-02,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-69bed1f44ee12d82,,757f9e6c3c38a16072f20960940f688b8f61c189d78900bee328d032abc4bbd4,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:57:10+08:00
GFEX-WR-20260403,2026-04-03,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-d8462a752edb0489,,974e5fd4efb3fbc8312c0680b7c5c76b50e36493b07b532da8ac59c6243a59df,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:57:14+08:00
GFEX-WR-20260408,2026-04-08,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-8585a8ec432f31b9,,6184337621eace3ddb6e49df3bf33cd593c0989e9e85eb767a8960cb8ffa1bb6,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:57:18+08:00
